poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseKalman.x PoseKalman.y
-2.29557 0.0792538 1.08231 0.314482 -1.72474 1.12049 -0.116871 0.348897 0 0 -0.141881 0.628394
-2.30145 0.0792538 0.01 1.14715 1.76672 -1.42899 1.11571 0.514149 0 0 0.739541 0.320973
-2.30733 0.0792538 0.20053 0.870963 1.02717 0.39653 0.0439046 0.315758 0 0 0.423345 0.723473
-2.31321 0.0792538 -0.25182 1.66167 1.2811 -0.458097 0.669321 0.807181 0 0 0.439054 0.745719
-2.31909 0.0792538 1.67973 0.343203 0.210082 0.871989 0.575597 0.608111 0 0 0.531536 0.584733
-2.32497 0.0792538 -0.134405 1.41465 1.00924 0.0356293 0.969599 0.843618 0 0 0.504154 1.01331
-2.33086 0.0792538 1.12311 0.372914 -0.156351 0.959724 0.756498 0.664655 0 0 0.307533 0.578744
-2.33674 0.0792538 0.838595 0.427664 0.49839 0.899999 -0.244464 0.374613 0 0 0.102802 0.452145
-2.34262 0.0792538 1.52937 0.503549 0.586196 0.300557 0.782445 0.771089 0 0 0.534969 0.32321
-2.3485 0.0792537 0.220066 0.904946 0.51171 0.398719 -0.875197 -0.356102 0 0 -0.0251989 0.443077
-2.35438 0.0792537 -0.119791 1.14737 -0.868245 1.21987 0.972541 0.958315 0 0 0.0166366 1.05511
-2.36026 0.0792537 0.217282 0.964521 -0.766213 1.276 0.712568 0.769672 0 0 -0.0413568 0.893887
-2.36614 0.0792537 0.156512 0.912238 0.798795 0.750607 0.331114 0.333013 0 0 0.309572 0.695113
-2.37202 0.0792537 0.990831 0.418115 0.96241 0.0101291 0.162302 0.328569 0 0 0.347659 0.275397
-2.3779 0.0792537 0.253588 0.698795 -0.188619 0.784001 -1.3604 -1.39874 0 0 -0.352274 0.10014
-2.38379 0.0792537 1.17341 0.250289 0.221219 0.951939 -0.163319 0.608179 0 0 0.218304 0.540292
-2.38967 0.0792537 1.40642 0.302709 0.165621 0.696587 1.25681 0.984572 0 0 0.68758 0.851842
-2.39555 0.0792537 1.1594 0.414365 0.288601 0.673048 0.0111838 0.112714 0 0 0.353836 0.477782
-2.40143 0.0792537 -0.245039 1.22054 0.635695 -0.0237031 1.26887 0.766624 0 0 0.454583 0.866906
-2.40731 0.0792537 0.612 0.432739 0.187447 0.784157 2.84402 0.476266 0 0 0.829612 0.605032
-2.41319 0.0792537 0.214887 0.629214 -0.172376 0.7455 0.208809 0.468562 0 0 -0.180682 0.421972
-2.41907 0.0792537 0.768325 0.526896 1.37504 0.0888012 1.21326 0.947282 0 0 0.621129 0.422588
-2.42495 0.0792537 0.763152 0.30201 -0.141784 1.01203 -0.363919 0.619268 0 0 -0.0660625 0.566957
-2.43083 0.0792537 0.152392 0.877474 1.04593 0.0203264 0.946057 0.776475 0 0 0.496466 0.618652
-2.43671 0.0792537 0.808984 0.339956 0.887953 0.468765 0.297798 0.840063 0 0 0.457881 0.491281
-2.4426 0.0792537 0.532788 0.540869 0.663709 0.629135 -1.08858 -0.561295 0 0 0.053754 0.3607
-2.44848 0.0792537 0.229599 0.783292 0.506694 0.396423 1.93636 0.579846 0 0 0.395711 0.44844
-2.45436 0.0792537 0.244303 0.73852 0.0747993 0.494874 1.23727 0.808986 0 0 0.338005 0.684962
-2.46024 0.0792537 0.402395 0.74743 0.205001 0.421615 -0.239773 0.452023 0 0 0.12946 0.696545
-2.46612 0.0792537 0.302476 0.634 0.64031 0.552509 2.39589 0.532462 0 0 0.806208 1.08617
-2.472 0.0792537 0.675317 0.454902 -0.386588 0.980761 -0.934711 -0.425755 0 0 -0.317757 0.339434
-2.47788 0.0792537 0.610728 0.432773 -0.229447 0.871712 1.70243 0.703976 0 0 0.410591 0.640472
-2.48376 0.0792537 -0.272329 1.68217 1.55008 -0.0533575 0.514188 0.933841 0 0 0.409582 0.94095
-2.48964 0.0792537 0.429381 0.590084 -0.821396 0.96759 -0.179088 0.601592 0 0 -0.0989652 0.962793
-2.49553 0.0792537 1.05718 0.431475 1.00559 0.205288 -0.417248 0.247535 0 0 0.141537 0.20904
-2.50141 0.0792537 0.0572013 0.948587 -0.490729 1.00399 1.65461 0.824722 0 0 0.115194 0.74821
